sea bay;river;catch year;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14
shelikhova bay;gizhiga;2007;-0,035213;-0,032020;0,002550;-0,011609;-0,026333;-0,011909;-0,003341;0,004706;0,016103;0,025018;0,006144;0,017654;-0,020909;-0,012534
shelikhova bay;gizhiga;2007;0,038040;0,029863;-0,042726;-0,011573;0,036928;-0,011963;0,020814;-0,000816;0,021868;0,001438;0,035251;0,024657;0,007259;0,008988
shelikhova bay;gizhiga;2007;0,037969;0,069134;0,019724;0,007534;0,005645;0,013076;0,042676;-0,001244;0,008140;-0,011866;-0,002284;0,015333;0,000725;-0,001484
shelikhova bay;gizhiga;2007;0,075598;0,012832;-0,001090;-0,003245;0,019293;-0,006924;-0,028566;-0,017060;0,001574;0,008880;-0,006861;0,003728;-0,000917;-0,004086
shelikhova bay;gizhiga;2007;0,031611;-0,062642;0,029615;0,007268;-0,015081;0,018869;0,007935;-0,022547;0,001264;0,002111;0,030227;-0,003392;-0,023299;-0,017272
shelikhova bay;gizhiga;2007;0,049343;0,003508;-0,048582;0,001605;0,014146;0,002941;-0,003566;-0,010652;-0,012049;-0,007757;-0,002449;-0,002539;-0,003381;0,009030
shelikhova bay;gizhiga;2007;-0,077749;-0,040561;-0,003185;0,007214;0,032572;0,010014;0,026408;0,026505;-0,002719;-0,008875;-0,010427;0,009206;-0,000181;-0,001711
shelikhova bay;gizhiga;2007;-0,013098;-0,063616;-0,023000;0,018252;-0,003639;-0,013387;0,020971;-0,006473;-0,001454;0,005518;0,010049;-0,007061;0,002809;-0,000092
shelikhova bay;gizhiga;2007;0,062918;0,003583;-0,008032;0,014012;0,012670;-0,010308;-0,015991;-0,006367;-0,002104;0,009903;-0,008816;0,003078;0,013795;-0,002768
shelikhova bay;gizhiga;2007;-0,005681;0,011531;-0,022182;0,004375;-0,018693;-0,021500;0,018847;0,008122;0,002257;0,016064;0,009882;-0,003462;-0,001917;0,002544
shelikhova bay;gizhiga;2007;0,027685;0,001111;-0,011481;0,041615;0,009202;-0,013355;-0,001802;0,010274;-0,018947;0,008612;-0,007394;0,002049;-0,012632;-0,001309
shelikhova bay;gizhiga;2007;-0,110575;0,020427;0,021264;-0,028410;0,002580;-0,030309;-0,021328;0,000758;-0,013990;-0,002137;0,003771;-0,010563;0,023316;-0,003857
shelikhova bay;gizhiga;2007;-0,003647;-0,032151;0,024653;0,040741;0,028502;0,015790;-0,012752;-0,016724;0,015266;-0,004812;0,000506;-0,017400;-0,011463;0,005321
shelikhova bay;gizhiga;2007;0,019597;0,048793;-0,005326;0,008667;-0,033308;0,004723;-0,005239;-0,000577;-0,005515;0,012179;0,000584;0,010965;0,006510;0,007637
shelikhova bay;gizhiga;2007;0,044197;0,045260;-0,011761;0,004621;0,026972;-0,020201;0,016205;0,020130;-0,017658;0,014542;-0,022254;-0,001666;0,003886;0,001903
shelikhova bay;gizhiga;2007;0,007277;-0,011367;-0,012566;-0,000903;-0,001693;-0,000019;-0,028462;-0,002540;-0,011765;0,008601;0,010571;-0,009530;-0,000814;0,005161
shelikhova bay;gizhiga;2007;0,035491;-0,005077;-0,011690;-0,002246;0,003526;-0,017778;0,014807;-0,004277;-0,008272;0,001351;-0,005197;-0,005395;0,006100;0,015308
shelikhova bay;gizhiga;2007;-0,010507;-0,054106;0,051253;-0,020704;-0,009173;-0,019324;-0,013764;0,001145;-0,014285;0,003976;0,003035;-0,001504;0,000532;0,000879
shelikhova bay;gizhiga;2007;0,010896;0,040622;0,022687;0,000988;0,006068;-0,008428;0,026266;-0,014573;0,000750;0,001417;-0,005492;0,001079;-0,004607;-0,010446
shelikhova bay;gizhiga;2007;-0,043833;-0,028172;-0,007870;0,045400;0,004754;-0,031348;0,022549;-0,019373;-0,000270;0,014575;0,022961;-0,008194;0,008313;0,003019
shelikhova bay;gizhiga;2007;0,002607;0,007283;-0,017189;0,019006;0,004008;-0,012502;0,003292;-0,005889;-0,011787;0,021498;0,005587;0,009637;-0,005452;0,006804
shelikhova bay;gizhiga;2007;0,010446;0,030901;0,093862;0,024329;-0,052602;0,020680;0,013712;0,023189;0,008013;0,022087;-0,013431;-0,021768;-0,013592;-0,007162
shelikhova bay;gizhiga;2007;0,034707;-0,040083;0,036226;0,036696;-0,011399;0,012583;0,009811;-0,013383;-0,015444;0,002358;0,002022;-0,004371;0,001302;-0,001139
shelikhova bay;gizhiga;2007;-0,030934;0,079428;0,012655;0,012205;-0,015085;-0,015096;0,025482;-0,008939;-0,000550;0,010546;0,015357;-0,025117;0,001887;-0,003993
shelikhova bay;gizhiga;2007;-0,005383;-0,007489;-0,007397;-0,024117;0,001965;-0,011244;-0,016162;0,010273;0,018053;0,018222;0,024792;0,001598;-0,013870;0,007287
shelikhova bay;gizhiga;2007;0,029127;-0,080600;0,145430;-0,137007;0,019339;-0,016193;-0,012025;0,031542;-0,073293;-0,010423;0,027777;0,012465;0,004898;-0,004911
